Date,Location,Food_Category,Food_Item,Quantity_Produced,Quantity_Sold,Quantity_Wasted,Cost_Per_Unit,Revenue_Per_Unit,Temperature,Customers
2024-02-06 00:53:47.751834556,Bangalore,Prepared Food,Rice Bowl,204,112,92,11.23,15.19,35.2,246.0
2024-02-06 12:35:03.802535023,Mumbai,Prepared Food,Sandwich,122,103,19,75.35,137.89,28.3,134.0
2024-02-07 00:16:19.853235490,Hyderabad,Bakery,Cake,150,126,24,64.56,94.26,34.8,337.0
2024-02-07 11:57:35.903935957,Bangalore,Dairy,Butter,349,308,41,84.82,128.54,38.0,285.0
2024-02-07 23:38:51.954636424,Mumbai,Prepared Food,Sandwich,412,370,42,22.06,29.12,36.6,390.0
2024-02-08 11:20:08.005336891,Mumbai,Dairy,Yogurt,202,148,54,65.55,130.2,33.4,387.0
2024-02-08 23:01:24.056037358,Bangalore,Fruits,Orange,407,388,19,50.58,97.99,26.6,155.0
2024-02-09 10:42:40.106737825,Chennai,Fruits,Apple,384,342,42,51.34,97.01,36.9,389.0
2024-02-09 22:23:56.157438292,Chennai,Prepared Food,Sandwich,304,292,12,67.01,98.38,21.7,298.0
2024-02-10 10:05:12.208138759,Delhi,Fruits,Banana,459,383,76,41.11,79.25,30.4,142.0
2024-02-10 21:46:28.258839226,Bangalore,Dairy,Milk,150,100,50,83.96,129.43,27.6,71.0
2024-02-11 09:27:44.309539693,Hyderabad,Prepared Food,Sandwich,232,231,1,42.04,80.97,22.8,267.0
2024-02-11 21:09:00.360240160,Hyderabad,Prepared Food,Pizza,381,255,126,66.51,90.27,39.2,368.0
2024-02-12 08:50:16.410940627,Bangalore,Prepared Food,Rice Bowl,391,215,176,17.61,30.26,41.7,352.0
2024-02-12 20:31:32.461641094,Bangalore,Dairy,Butter,464,408,56,13.3,19.64,35.7,160.0
2024-02-13 08:12:48.512341561,Delhi,Fruits,Orange,373,242,131,57.94,85.16,25.9,77.0
2024-02-13 19:54:04.563042028,Hyderabad,Dairy,Yogurt,372,289,83,39.47,54.62,39.6,261.0
2024-02-14 07:35:20.613742495,Bangalore,Bakery,Donut,166,108,58,17.82,29.87,32.9,313.0
2024-02-14 19:16:36.664442962,Mumbai,Bakery,Donut,141,117,24,40.37,77.9,33.4,492.0
2024-02-15 06:57:52.715143429,Chennai,Fruits,Apple,476,293,183,10.68,15.57,,161.0
2024-02-15 18:39:08.765843896,Mumbai,Vegetables,Potato,417,322,95,25.6,49.35,21.8,292.0
2024-02-16 06:20:24.816544363,Bangalore,Prepared Food,Burger,319,249,70,87.9,164.54,25.7,484.0
2024-02-16 18:01:40.867244830,Mumbai,Bakery,Cake,491,295,196,35.2,64.72,24.1,167.0
2024-02-17 05:42:56.917945296,Delhi,Vegetables,Carrot,324,197,127,31.82,43.92,33.4,369.0
2024-02-17 17:24:12.968645763,Mumbai,Prepared Food,Sandwich,455,326,129,57.93,77.41,27.4,59.0
2024-02-18 05:05:29.019346230,Bangalore,Prepared Food,Pizza,271,150,121,39.01,72.83,25.6,150.0
2024-02-18 16:46:45.070046697,Hyderabad,Bakery,Bread,498,424,74,64.55,119.8,22.3,118.0
2024-02-19 04:28:01.120747164,Bangalore,Vegetables,Spinach,433,354,79,75.78,148.29,24.0,84.0
2024-02-19 16:09:17.171447631,Delhi,Bakery,Donut,419,322,97,22.58,41.92,24.4,335.0
2024-02-20 03:50:33.222148098,Chennai,Fruits,Apple,104,75,29,69.87,116.41,27.9,286.0
2024-02-20 15:31:49.272848565,Bangalore,Dairy,Milk,395,288,107,49.52,77.44,30.2,471.0
2024-02-21 03:13:05.323549032,Hyderabad,Bakery,Croissant,252,154,98,90.96,142.69,32.0,153.0
2024-02-21 14:54:21.374249499,Mumbai,Fruits,Orange,297,296,1,39.95,72.36,35.3,64.0
2024-02-22 02:35:37.424949966,Delhi,Prepared Food,Rice Bowl,330,218,112,77.72,139.5,37.1,338.0
2024-02-22 14:16:53.475650433,Bangalore,Vegetables,Potato,109,63,46,88.91,136.87,38.1,208.0
2024-02-23 01:58:09.526350900,Delhi,Vegetables,Tomato,283,169,114,81.76,114.87,25.0,381.0
2024-02-23 13:39:25.577051367,Mumbai,Prepared Food,Sandwich,194,141,53,58.85,86.88,27.6,60.0
2024-02-24 01:20:41.627751834,Bangalore,Dairy,Butter,401,326,75,23.8,40.71,31.1,160.0
2024-02-24 13:01:57.678452301,Delhi,Vegetables,Carrot,455,317,138,81.11,106.75,34.3,141.0
2024-02-25 00:43:13.729152768,Mumbai,Dairy,Milk,128,83,45,94.09,183.28,29.9,351.0
2024-02-25 12:24:29.779853235,Bangalore,Prepared Food,Rice Bowl,209,149,60,21.22,41.26,39.1,104.0
2024-02-26 00:05:45.830553702,Chennai,Fruits,Mango,408,360,48,28.5,52.77,33.3,340.0
2024-02-26 11:47:01.881254169,Bangalore,Vegetables,Tomato,174,132,42,41.17,63.52,36.2,66.0
2024-02-26 23:28:17.931954636,Delhi,Fruits,Orange,350,343,7,61.99,87.77,20.7,210.0
2024-02-27 11:09:33.982655103,Mumbai,Bakery,Bread,249,161,88,11.18,19.73,23.9,133.0
2024-02-27 22:50:50.033355570,Delhi,Bakery,Bread,217,204,13,17.68,35.32,31.0,306.0
2024-02-28 10:32:06.084056037,Mumbai,Prepared Food,Sandwich,478,445,33,90.82,131.11,24.2,478.0
2024-02-28 22:13:22.134756504,Mumbai,Prepared Food,Sandwich,117,64,53,79.8,129.06,31.5,162.0
2024-02-29 09:54:38.185456971,Mumbai,Dairy,Cheese,418,360,58,26.37,50.19,40.8,337.0
2024-02-29 21:35:54.236157438,Mumbai,Dairy,Cheese,465,416,49,46.79,61.66,23.4,227.0
2024-03-01 09:17:10.286857905,Hyderabad,Prepared Food,Burger,412,292,120,30.8,54.53,20.4,103.0
2024-03-01 20:58:26.337558372,Chennai,Bakery,Croissant,166,141,25,68.75,100.84,22.2,145.0
2024-03-02 08:39:42.388258839,Delhi,Fruits,Mango,264,198,66,28.45,42.82,39.7,56.0
2024-03-02 20:20:58.438959306,Hyderabad,Dairy,Yogurt,250,221,29,12.39,17.68,32.8,237.0
2024-03-03 08:02:14.489659773,Hyderabad,Dairy,Cheese,402,368,34,40.23,75.53,28.0,168.0
2024-03-03 19:43:30.540360240,Chennai,Vegetables,Spinach,392,380,12,79.65,123.77,38.9,404.0
2024-03-04 07:24:46.591060707,Delhi,Vegetables,Potato,379,288,91,88.16,144.69,39.7,177.0
2024-03-04 19:06:02.641761174,Mumbai,Bakery,Cake,308,182,126,76.75,137.32,28.9,250.0
2024-03-05 06:47:18.692461641,Delhi,Fruits,Banana,253,196,57,91.05,162.42,35.0,375.0
2024-03-05 18:28:34.743162108,Chennai,Dairy,Butter,141,117,24,34.66,58.5,34.3,427.0
2024-03-06 06:09:50.793862575,Chennai,Vegetables,Carrot,461,338,123,22.32,43.08,39.2,217.0
2024-03-06 17:51:06.844563042,Chennai,Dairy,Butter,408,361,47,92.3,147.05,28.4,171.0
2024-03-07 05:32:22.895263509,Mumbai,Dairy,Butter,292,210,82,18.13,33.35,21.5,316.0
2024-03-07 17:13:38.945963976,Delhi,Fruits,Mango,212,174,38,36.74,62.33,30.5,160.0
2024-03-08 04:54:54.996664443,Hyderabad,Prepared Food,Burger,349,226,123,58.59,82.81,,386.0
2024-03-08 16:36:11.047364910,Mumbai,Fruits,Apple,300,237,63,16.76,30.33,30.9,476.0
2024-03-09 04:17:27.098065377,Mumbai,Dairy,Milk,230,226,4,10.21,20.19,20.1,61.0
2024-03-09 15:58:43.148765844,Delhi,Fruits,Apple,404,238,166,95.52,154.0,24.1,367.0
2024-03-10 03:39:59.199466311,Chennai,Fruits,Mango,180,178,2,86.43,127.46,30.8,192.0
2024-03-10 15:21:15.250166778,Hyderabad,Fruits,Banana,464,280,184,13.55,24.31,40.4,456.0
2024-03-11 03:02:31.300867245,Bangalore,Dairy,Milk,490,282,208,20.85,37.77,24.2,377.0
2024-03-11 14:43:47.351567712,Chennai,Dairy,Yogurt,181,137,44,50.96,84.88,34.2,63.0
2024-03-12 02:25:03.402268179,Delhi,Fruits,Mango,400,317,83,89.65,149.82,29.7,413.0
2024-03-12 14:06:19.452968646,Chennai,Bakery,Donut,496,481,15,56.82,90.84,39.3,499.0
2024-03-13 01:47:35.503669113,Bangalore,Fruits,Banana,350,204,146,57.6,112.74,37.6,88.0
2024-03-13 13:28:51.554369580,Hyderabad,Vegetables,Tomato,417,413,4,62.27,92.79,28.8,463.0
2024-03-14 01:10:07.605070046,Delhi,Bakery,Croissant,488,332,156,31.49,43.37,27.8,207.0
2024-03-14 12:51:23.655770513,Bangalore,Dairy,Butter,392,367,25,34.95,67.71,21.0,448.0
2024-03-15 00:32:39.706470980,Delhi,Bakery,Bread,239,189,50,95.5,176.72,22.0,247.0
2024-03-15 12:13:55.757171447,Chennai,Fruits,Banana,325,229,96,15.85,25.06,38.4,359.0
2024-03-15 23:55:11.807871914,Chennai,Prepared Food,Pizza,465,328,137,14.23,22.32,20.8,308.0
2024-03-16 11:36:27.858572381,Hyderabad,Prepared Food,Rice Bowl,108,93,15,63.75,106.3,25.7,468.0
2024-03-16 23:17:43.909272848,Hyderabad,Dairy,Cheese,315,175,140,83.42,121.55,24.9,138.0
2024-03-17 10:58:59.959973315,Chennai,Bakery,Donut,197,118,79,88.97,132.2,22.8,186.0
2024-03-17 22:40:16.010673782,Bangalore,Fruits,Apple,431,406,25,82.86,145.72,32.1,492.0
2024-03-18 10:21:32.061374249,Delhi,Dairy,Butter,137,82,55,72.61,96.87,31.7,86.0
2024-03-18 22:02:48.112074716,Chennai,Vegetables,Spinach,383,290,93,15.54,29.81,31.4,164.0
2024-03-19 09:44:04.162775183,Bangalore,Dairy,Yogurt,139,102,37,87.8,159.25,31.5,385.0
2024-03-19 21:25:20.213475650,Mumbai,Vegetables,Tomato,158,133,25,73.75,139.09,35.3,219.0
2024-03-20 09:06:36.264176117,Mumbai,Vegetables,Carrot,287,163,124,89.35,176.28,30.2,80.0
2024-03-20 20:47:52.314876584,Mumbai,Dairy,Cheese,257,179,78,24.47,45.82,38.3,61.0
2024-03-21 08:29:08.365577051,Chennai,Dairy,Butter,145,105,40,98.31,171.28,25.7,237.0
2024-03-21 20:10:24.416277518,Mumbai,Prepared Food,Pizza,173,157,16,45.29,64.57,36.6,327.0
2024-03-22 07:51:40.466977985,Delhi,Vegetables,Spinach,341,254,87,37.09,66.6,21.5,443.0
2024-03-22 19:32:56.517678452,Bangalore,Bakery,Cake,219,201,18,88.44,175.24,41.3,213.0
2024-03-23 07:14:12.568378919,Delhi,Fruits,Orange,480,467,13,12.21,16.06,27.1,128.0
2024-03-23 18:55:28.619079386,Bangalore,Fruits,Orange,125,101,24,34.63,69.19,29.4,446.0
2024-03-24 06:36:44.669779853,Chennai,Bakery,Croissant,256,214,42,29.87,40.55,35.0,71.0
2024-03-24 18:18:00.720480320,Mumbai,Fruits,Orange,436,364,72,23.6,37.82,40.8,406.0
2024-03-25 05:59:16.771180787,Mumbai,Fruits,Mango,486,267,219,38.87,70.24,36.4,212.0
2024-03-25 17:40:32.821881254,Delhi,Bakery,Bread,373,219,154,52.44,88.11,23.5,194.0
2024-03-26 05:21:48.872581721,Mumbai,Prepared Food,Rice Bowl,273,199,74,78.49,136.44,22.9,230.0
2024-03-26 17:03:04.923282188,Mumbai,Vegetables,Potato,145,93,52,53.34,73.72,22.8,285.0
2024-03-27 04:44:20.973982655,Hyderabad,Vegetables,Spinach,265,192,73,54.24,72.95,32.8,166.0
2024-03-27 16:25:37.024683122,Mumbai,Dairy,Butter,163,160,3,51.81,92.03,28.7,144.0
2024-03-28 04:06:53.075383589,Hyderabad,Fruits,Apple,388,314,74,91.7,165.7,36.5,90.0
2024-03-28 15:48:09.126084056,Hyderabad,Bakery,Donut,145,110,35,11.65,19.08,24.6,210.0
2024-03-29 03:29:25.176784523,Bangalore,Dairy,Butter,452,249,203,58.08,111.38,21.8,126.0
2024-03-29 15:10:41.227484990,Bangalore,Vegetables,Potato,265,247,18,28.08,50.13,38.1,155.0
2024-03-30 02:51:57.278185457,Mumbai,Vegetables,Tomato,416,350,66,12.84,25.11,21.1,465.0
2024-03-30 14:33:13.328885924,Delhi,Bakery,Cake,363,270,93,74.27,138.23,27.5,300.0
2024-03-31 02:14:29.379586391,Delhi,Fruits,Mango,489,325,164,80.54,131.81,20.9,237.0
2024-03-31 13:55:45.430286858,Mumbai,Dairy,Cheese,111,83,28,68.53,112.08,,196.0
2024-04-01 01:37:01.480987325,Chennai,Vegetables,Tomato,218,171,47,69.28,114.22,32.2,451.0
2024-04-01 13:18:17.531687792,Chennai,Fruits,Banana,451,303,148,97.73,171.54,24.4,84.0
2024-04-02 00:59:33.582388259,Hyderabad,Prepared Food,Rice Bowl,490,344,146,25.68,50.65,29.1,73.0
2024-04-02 12:40:49.633088726,Delhi,Vegetables,Tomato,319,282,37,79.1,130.78,32.0,484.0
2024-04-03 00:22:05.683789193,Bangalore,Bakery,Donut,216,215,1,53.8,102.83,39.8,311.0
2024-04-03 12:03:21.734489660,Mumbai,Dairy,Yogurt,285,280,5,28.96,50.28,33.9,448.0
2024-04-03 23:44:37.785190126,Bangalore,Bakery,Croissant,107,93,14,91.81,130.9,25.2,383.0
2024-04-04 11:25:53.835890593,Chennai,Dairy,Yogurt,424,398,26,54.31,80.0,39.2,160.0
2024-04-04 23:07:09.886591060,Bangalore,Bakery,Donut,330,250,80,68.69,104.31,28.8,212.0
2024-04-05 10:48:25.937291527,Hyderabad,Prepared Food,Rice Bowl,263,188,75,31.33,45.88,39.4,167.0
2024-04-05 22:29:41.987991994,Bangalore,Dairy,Milk,431,330,101,23.12,37.33,32.9,50.0
2024-04-06 10:10:58.038692461,Delhi,Bakery,Donut,383,330,53,64.5,99.96,31.7,354.0
2024-04-06 21:52:14.089392928,Delhi,Bakery,Donut,411,381,30,87.78,148.41,31.9,453.0
2024-04-07 09:33:30.140093395,Bangalore,Dairy,Cheese,392,234,158,14.65,25.61,24.9,294.0
2024-04-07 21:14:46.190793862,Hyderabad,Fruits,Apple,278,229,49,71.94,113.53,30.6,300.0
2024-04-08 08:56:02.241494329,Bangalore,Fruits,Banana,316,222,94,97.58,166.48,25.6,476.0
2024-04-08 20:37:18.292194796,Delhi,Dairy,Yogurt,393,299,94,21.32,29.7,23.2,483.0
2024-04-09 08:18:34.342895263,Bangalore,Dairy,Butter,440,370,70,75.77,106.78,25.2,135.0
2024-04-09 19:59:50.393595730,Bangalore,Dairy,Milk,213,198,15,65.61,125.2,32.6,125.0
2024-04-10 07:41:06.444296197,Hyderabad,Fruits,Mango,401,252,149,64.05,125.45,38.2,353.0
2024-04-10 19:22:22.494996664,Bangalore,Prepared Food,Rice Bowl,319,237,82,97.95,155.23,39.2,122.0
2024-04-11 07:03:38.545697131,Hyderabad,Prepared Food,Rice Bowl,423,329,94,46.37,70.9,34.7,131.0
2024-04-11 18:44:54.596397598,Mumbai,Prepared Food,Rice Bowl,464,329,135,43.81,66.06,34.3,262.0
2024-04-12 06:26:10.647098065,Bangalore,Bakery,Donut,298,222,76,59.36,101.95,32.0,340.0
2024-04-12 18:07:26.697798532,Bangalore,Vegetables,Potato,366,299,67,25.16,44.03,36.7,314.0
2024-04-13 05:48:42.748498999,Bangalore,Fruits,Apple,427,281,146,86.25,167.32,37.9,202.0
2024-04-13 17:29:58.799199466,Bangalore,Vegetables,Tomato,403,257,146,32.15,52.52,28.7,392.0
2024-04-14 05:11:14.849899933,Mumbai,Dairy,Butter,120,88,32,48.78,94.03,21.6,448.0
2024-04-14 16:52:30.900600400,Mumbai,Bakery,Donut,150,96,54,27.74,45.37,24.3,383.0
2024-04-15 04:33:46.951300866,Chennai,Prepared Food,Burger,151,109,42,93.66,156.65,32.8,155.0
2024-04-15 16:15:03.002001334,Bangalore,Vegetables,Potato,101,67,34,47.22,65.41,24.0,400.0
2024-04-16 03:56:19.052701800,Chennai,Vegetables,Potato,258,211,47,36.58,67.87,24.1,489.0
2024-04-16 15:37:35.103402268,Delhi,Vegetables,Spinach,473,266,207,83.42,130.26,31.6,96.0
2024-04-17 03:18:51.154102734,Chennai,Fruits,Apple,313,308,5,81.44,142.73,23.8,170.0
2024-04-17 15:00:07.204803202,Hyderabad,Prepared Food,Sandwich,253,229,24,80.25,119.76,,109.0
2024-04-18 02:41:23.255503668,Bangalore,Dairy,Milk,263,217,46,50.66,86.66,23.7,157.0
2024-04-18 14:22:39.306204136,Chennai,Dairy,Milk,249,183,66,38.1,55.67,24.5,60.0
2024-04-19 02:03:55.356904602,Chennai,Dairy,Milk,353,346,7,98.9,138.02,35.3,372.0
2024-04-19 13:45:11.407605070,Chennai,Dairy,Cheese,266,186,80,72.32,144.2,22.8,68.0
2024-04-20 01:26:27.458305536,Bangalore,Vegetables,Potato,387,378,9,79.54,118.15,34.2,213.0
2024-04-20 13:07:43.509006004,Hyderabad,Fruits,Apple,478,331,147,41.95,56.57,31.4,179.0
2024-04-21 00:48:59.559706470,Delhi,Vegetables,Tomato,126,100,26,58.6,112.28,34.3,349.0
2024-04-21 12:30:15.610406938,Mumbai,Prepared Food,Sandwich,441,311,130,14.71,23.02,28.0,340.0
2024-04-22 00:11:31.661107404,Delhi,Dairy,Yogurt,363,348,15,60.61,119.42,23.9,336.0
2024-04-22 11:52:47.711807872,Bangalore,Bakery,Croissant,257,195,62,78.05,120.45,34.6,52.0
2024-04-22 23:34:03.762508338,Delhi,Prepared Food,Pizza,214,121,93,76.35,140.33,25.4,335.0
2024-04-23 11:15:19.813208806,Bangalore,Prepared Food,Burger,330,212,118,21.49,40.36,37.2,275.0
2024-04-23 22:56:35.863909272,Delhi,Prepared Food,Sandwich,250,250,0,40.75,63.84,27.6,298.0
2024-04-24 10:37:51.914609740,Mumbai,Bakery,Bread,422,411,11,35.17,68.92,39.2,311.0
2024-04-24 22:19:07.965310206,Mumbai,Fruits,Banana,242,218,24,60.99,95.98,31.0,98.0
2024-04-25 10:00:24.016010674,Bangalore,Dairy,Cheese,390,371,19,89.02,169.82,37.7,385.0
2024-04-25 21:41:40.066711140,Hyderabad,Vegetables,Potato,498,421,77,12.06,16.98,24.9,255.0
2024-04-26 09:22:56.117411608,Bangalore,Vegetables,Potato,124,69,55,21.93,41.74,40.3,319.0
2024-04-26 21:04:12.168112074,Chennai,Bakery,Cake,486,435,51,84.27,148.86,22.7,454.0
2024-04-27 08:45:28.218812542,Hyderabad,Dairy,Butter,178,164,14,17.2,31.71,22.7,141.0
2024-04-27 20:26:44.269513008,Delhi,Prepared Food,Pizza,245,226,19,19.51,34.11,24.8,303.0
2024-04-28 08:08:00.320213476,Mumbai,Dairy,Butter,386,216,170,80.27,130.19,21.3,316.0
2024-04-28 19:49:16.370913942,Hyderabad,Dairy,Milk,182,108,74,22.8,31.58,26.7,420.0
2024-04-29 07:30:32.421614410,Delhi,Vegetables,Tomato,359,299,60,30.6,44.76,24.9,270.0
2024-04-29 19:11:48.472314876,Delhi,Vegetables,Spinach,330,243,87,81.29,128.71,34.4,56.0
2024-04-30 06:53:04.523015344,Chennai,Fruits,Mango,185,105,80,10.99,17.49,30.6,295.0
2024-04-30 18:34:20.573715810,Bangalore,Prepared Food,Sandwich,475,427,48,65.71,100.3,38.4,262.0
2024-05-01 06:15:36.624416278,Chennai,Prepared Food,Sandwich,272,180,92,53.91,74.22,32.1,240.0
2024-05-01 17:56:52.675116744,Chennai,Prepared Food,Burger,381,242,139,39.22,71.23,30.5,282.0
